service_id,date,exception_type
S1412-Satco-Sunday-02,20150119,1
S1412-AMD-Weekday-52,20150114,2
S1412-AMD-Weekday-52-0010000,20150114,2
S1412-AMD-Weekday-52-0111000,20150114,2
S1412-AMD-Weekday-52,20150115,2
S1412-AMD-Weekday-52-0010000,20150115,2
S1412-AMD-Weekday-52-0111000,20150115,2
UM1415-UMTS-Weekday-12,20150216,2
UM1415-UMTS-Weekday-12-1110000,20150216,2
UM1415-UMTS-Weekday-12-0001100,20150216,2
UM1415-UMTS-Weekday-12-1010100,20150216,2
UM1415-UMTS-Weekday-12-0000100,20150216,2
UM1415-UMTS-Weekday-12-0001000,20150216,2
UM1415-UMTS-Weekday-12,20150217,2
UM1415-UMTS-Weekday-12-1110000,20150217,2
UM1415-UMTS-Weekday-12-0001100,20150217,2
UM1415-UMTS-Weekday-12-1010100,20150217,2
UM1415-UMTS-Weekday-12-0000100,20150217,2
UM1415-UMTS-Weekday-12-0001000,20150217,2
N1501-VATCo-Sunday-03,20150119,1
N1501-VATCo-Weekday-03,20150216,2
N1501-VATCo-Weekday-03-0100000,20150216,2
N1501-VATCo-Weekday-03-1000000,20150216,2
N1501-VATCo-Weekday-03-0001000,20150216,2
N1501-VATCo-Weekday-03-1101100,20150216,2
N1501-VATCo-Weekday-03-0000100,20150216,2
N1501-VATCo-Weekday-03-0010000,20150216,2
N1501-VATCo-Weekday-03-0001100,20150216,2
N1501-VATCo-Weekday-03-0111100,20150216,2
N1501-VATCo-Weekday-03-1100100,20150216,2
N1501-VATCo-Weekday-03-1010100,20150216,2
N1501-VATCo-Weekday-03-1100000,20150216,2
N1501-VATCo-Weekday-03-0101100,20150216,2
