service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S1412-Satco-Saturday-03,0,0,0,0,0,1,0,20150110,20150307
S1412-Satco-Sunday-02,0,0,0,0,0,0,1,20150111,20150301
S1412-AMD-Weekday-52,1,1,1,1,1,0,0,20150112,20150116
S1412-AMD-Weekday-52-0010000,0,0,1,0,0,0,0,20150112,20150116
S1412-AMD-Weekday-52-0111000,0,1,1,1,0,0,0,20150112,20150116
S1412-AMD-Weekday-56,1,1,1,1,1,0,0,20150114,20150114
S1412-AMD-Weekday-56-1111000,1,1,1,1,0,0,0,20150114,20150114
S1412-AMD-Weekday-56-0010000,0,0,1,0,0,0,0,20150114,20150114
S1412-AMD-Weekday-56-0111000,0,1,1,1,0,0,0,20150114,20150114
S1412-AMD-Weekday-57,1,1,1,1,1,0,0,20150115,20150115
S1412-AMD-Weekday-57-0010000,0,0,1,0,0,0,0,20150115,20150115
S1412-AMD-Weekday-57-0111000,0,1,1,1,0,0,0,20150115,20150115
S1412-SATCo-Weekday-06,1,1,1,1,1,0,0,20150120,20150306
S1412-SATCo-Weekday-06-1010100,1,0,1,0,1,0,0,20150120,20150306
S1412-SATCo-Weekday-06-0101000,0,1,0,1,0,0,0,20150120,20150306
S1412-SATCo-Weekday-06-1111000,1,1,1,1,0,0,0,20150120,20150306
S1412-SATCo-Weekday-06-0010000,0,0,1,0,0,0,0,20150120,20150306
S1412-SATCo-Weekday-06-0111000,0,1,1,1,0,0,0,20150120,20150306
HTS04-hulmes-Saturday-01,0,0,0,0,0,1,0,20150110,20150307
HTS04-Hulmes-Weekday-04,1,1,1,1,1,0,0,20150112,20150306
HTS04-Hulmes-Weekday-04-0001100,0,0,0,1,1,0,0,20150112,20150306
UM1415-UMTS-Saturday-14,0,0,0,0,0,1,0,20150110,20150117
UM1415-UMTS-Sunday-13,0,0,0,0,0,0,1,20150111,20150118
UM1415-UMTS-Weekday-04,1,1,1,1,1,0,0,20150112,20150119
UM1415-UMTS-Weekday-04-0000100,0,0,0,0,1,0,0,20150112,20150119
UM1415-UMTS-Weekday-12,1,1,1,1,1,0,0,20150120,20150306
UM1415-UMTS-Weekday-12-1110000,1,1,1,0,0,0,0,20150120,20150306
UM1415-UMTS-Weekday-12-0001100,0,0,0,1,1,0,0,20150120,20150306
UM1415-UMTS-Weekday-12-1010100,1,0,1,0,1,0,0,20150120,20150306
UM1415-UMTS-Weekday-12-0000100,0,0,0,0,1,0,0,20150120,20150306
UM1415-UMTS-Weekday-12-0001000,0,0,0,1,0,0,0,20150120,20150306
UM1415-UMTS-Saturday-09,0,0,0,0,0,1,0,20150124,20150307
UM1415-UMTS-Sunday-10,0,0,0,0,0,0,1,20150125,20150301
UM1415-UMTS-Weekday-21,1,1,1,1,1,0,0,20150216,20150216
UM1415-UMTS-Weekday-22,1,1,1,1,1,0,0,20150217,20150217
N1412-VATCo-Saturday-01,0,0,0,0,0,1,0,20150110,20150117
N1412-VATCo-Sunday-01,0,0,0,0,0,0,1,20150111,20150111
N1412-VATCo-Weekday-01,1,1,1,1,1,0,0,20150112,20150116
N1412-VATCo-Weekday-01-0111100,0,1,1,1,1,0,0,20150112,20150116
N1412-VATCo-Weekday-01-1000000,1,0,0,0,0,0,0,20150112,20150116
N1412-VATCo-Weekday-01-0100000,0,1,0,0,0,0,0,20150112,20150116
N1412-VATCo-Weekday-01-0011100,0,0,1,1,1,0,0,20150112,20150116
N1412-VATCo-Weekday-01-0010000,0,0,1,0,0,0,0,20150112,20150116
N1412-VATCo-Weekday-01-0001100,0,0,0,1,1,0,0,20150112,20150116
N1501-VATCo-Sunday-03,0,0,0,0,0,0,1,20150118,20150301
N1501-VATCo-Weekday-03,1,1,1,1,1,0,0,20150120,20150306
N1501-VATCo-Weekday-03-0100000,0,1,0,0,0,0,0,20150120,20150306
N1501-VATCo-Weekday-03-1000000,1,0,0,0,0,0,0,20150120,20150306
N1501-VATCo-Weekday-03-0001000,0,0,0,1,0,0,0,20150120,20150306
N1501-VATCo-Weekday-03-1101100,1,1,0,1,1,0,0,20150120,20150306
N1501-VATCo-Weekday-03-0000100,0,0,0,0,1,0,0,20150120,20150306
N1501-VATCo-Weekday-03-0010000,0,0,1,0,0,0,0,20150120,20150306
N1501-VATCo-Weekday-03-0001100,0,0,0,1,1,0,0,20150120,20150306
N1501-VATCo-Weekday-03-0111100,0,1,1,1,1,0,0,20150120,20150306
N1501-VATCo-Weekday-03-1100100,1,1,0,0,1,0,0,20150120,20150306
N1501-VATCo-Weekday-03-1010100,1,0,1,0,1,0,0,20150120,20150306
N1501-VATCo-Weekday-03-1100000,1,1,0,0,0,0,0,20150120,20150306
N1501-VATCo-Weekday-03-0101100,0,1,0,1,1,0,0,20150120,20150306
N1501-VATCo-Saturday-03,0,0,0,0,0,1,0,20150124,20150307
N1501-VATCo-Weekday-40,1,1,1,1,1,0,0,20150216,20150216
