service_id,date,exception_type
UM1415-UMTS-Weekday-12,20150313,2
UM1415-UMTS-Weekday-12-1110000,20150313,2
UM1415-UMTS-Weekday-12-0001100,20150313,2
UM1415-UMTS-Weekday-12-1010100,20150313,2
UM1415-UMTS-Weekday-12-0000100,20150313,2
UM1415-UMTS-Weekday-12-0001000,20150313,2
UM1415-UMTS-Weekday-12,20150316,2
UM1415-UMTS-Weekday-12-1110000,20150316,2
UM1415-UMTS-Weekday-12-0001100,20150316,2
UM1415-UMTS-Weekday-12-1010100,20150316,2
UM1415-UMTS-Weekday-12-0000100,20150316,2
UM1415-UMTS-Weekday-12-0001000,20150316,2
UM1415-UMTS-Weekday-12,20150317,2
UM1415-UMTS-Weekday-12-1110000,20150317,2
UM1415-UMTS-Weekday-12-0001100,20150317,2
UM1415-UMTS-Weekday-12-1010100,20150317,2
UM1415-UMTS-Weekday-12-0000100,20150317,2
UM1415-UMTS-Weekday-12-0001000,20150317,2
UM1415-UMTS-Weekday-12,20150318,2
UM1415-UMTS-Weekday-12-1110000,20150318,2
UM1415-UMTS-Weekday-12-0001100,20150318,2
UM1415-UMTS-Weekday-12-1010100,20150318,2
UM1415-UMTS-Weekday-12-0000100,20150318,2
UM1415-UMTS-Weekday-12-0001000,20150318,2
UM1415-UMTS-Weekday-12,20150319,2
UM1415-UMTS-Weekday-12-1110000,20150319,2
UM1415-UMTS-Weekday-12-0001100,20150319,2
UM1415-UMTS-Weekday-12-1010100,20150319,2
UM1415-UMTS-Weekday-12-0000100,20150319,2
UM1415-UMTS-Weekday-12-0001000,20150319,2
UM1415-UMTS-Weekday-12,20150320,2
UM1415-UMTS-Weekday-12-1110000,20150320,2
UM1415-UMTS-Weekday-12-0001100,20150320,2
UM1415-UMTS-Weekday-12-1010100,20150320,2
UM1415-UMTS-Weekday-12-0000100,20150320,2
UM1415-UMTS-Weekday-12-0001000,20150320,2
UM1415-UMTS-Weekday-12,20150420,2
UM1415-UMTS-Weekday-12-1110000,20150420,2
UM1415-UMTS-Weekday-12-0001100,20150420,2
UM1415-UMTS-Weekday-12-1010100,20150420,2
UM1415-UMTS-Weekday-12-0000100,20150420,2
UM1415-UMTS-Weekday-12-0001000,20150420,2
UM1415-UMTS-Saturday-09,20150314,2
UM1415-UMTS-Saturday-09,20150321,2
UM1415-UMTS-Sunday-10,20150315,2
UM1415-UMTS-Saturday-07,20150328,2
UM1415-UMTS-Saturday-07,20150404,2
UM1415-UMTS-Saturday-07,20150411,2
UM1415-UMTS-Saturday-07,20150418,2
UM1415-UMTS-Saturday-07,20150425,2
UM1415-UMTS-Saturday-07,20150502,2
UM1415-UMTS-Saturday-07,20150509,2
UM1415-UMTS-Saturday-07,20150704,2
UM1415-UMTS-Sunday-08,20150322,2
UM1415-UMTS-Sunday-08,20150329,2
UM1415-UMTS-Sunday-08,20150405,2
UM1415-UMTS-Sunday-08,20150412,2
UM1415-UMTS-Sunday-08,20150419,2
UM1415-UMTS-Sunday-08,20150426,2
UM1415-UMTS-Sunday-08,20150503,2
UM1415-UMTS-Sunday-08,20150510,2
UM1415-UMTS-Weekday-03,20150525,2
N1501-VATCo-Weekday-03,20150316,2
N1501-VATCo-Weekday-03-0100000,20150316,2
N1501-VATCo-Weekday-03-1000000,20150316,2
N1501-VATCo-Weekday-03-0001000,20150316,2
N1501-VATCo-Weekday-03-0101100,20150316,2
N1501-VATCo-Weekday-03-0000100,20150316,2
N1501-VATCo-Weekday-03-0010000,20150316,2
N1501-VATCo-Weekday-03-0001100,20150316,2
N1501-VATCo-Weekday-03-0111100,20150316,2
N1501-VATCo-Weekday-03-1100100,20150316,2
N1501-VATCo-Weekday-03-1100000,20150316,2
N1501-VATCo-Weekday-03,20150317,2
N1501-VATCo-Weekday-03-0100000,20150317,2
N1501-VATCo-Weekday-03-1000000,20150317,2
N1501-VATCo-Weekday-03-0001000,20150317,2
N1501-VATCo-Weekday-03-0101100,20150317,2
N1501-VATCo-Weekday-03-0000100,20150317,2
N1501-VATCo-Weekday-03-0010000,20150317,2
N1501-VATCo-Weekday-03-0001100,20150317,2
N1501-VATCo-Weekday-03-0111100,20150317,2
N1501-VATCo-Weekday-03-1100100,20150317,2
N1501-VATCo-Weekday-03-1100000,20150317,2
N1501-VATCo-Weekday-03,20150318,2
N1501-VATCo-Weekday-03-0100000,20150318,2
N1501-VATCo-Weekday-03-1000000,20150318,2
N1501-VATCo-Weekday-03-0001000,20150318,2
N1501-VATCo-Weekday-03-0101100,20150318,2
N1501-VATCo-Weekday-03-0000100,20150318,2
N1501-VATCo-Weekday-03-0010000,20150318,2
N1501-VATCo-Weekday-03-0001100,20150318,2
N1501-VATCo-Weekday-03-0111100,20150318,2
N1501-VATCo-Weekday-03-1100100,20150318,2
N1501-VATCo-Weekday-03-1100000,20150318,2
N1501-VATCo-Weekday-03,20150319,2
N1501-VATCo-Weekday-03-0100000,20150319,2
N1501-VATCo-Weekday-03-1000000,20150319,2
N1501-VATCo-Weekday-03-0001000,20150319,2
N1501-VATCo-Weekday-03-0101100,20150319,2
N1501-VATCo-Weekday-03-0000100,20150319,2
N1501-VATCo-Weekday-03-0010000,20150319,2
N1501-VATCo-Weekday-03-0001100,20150319,2
N1501-VATCo-Weekday-03-0111100,20150319,2
N1501-VATCo-Weekday-03-1100100,20150319,2
N1501-VATCo-Weekday-03-1100000,20150319,2
N1501-VATCo-Weekday-03,20150320,2
N1501-VATCo-Weekday-03-0100000,20150320,2
N1501-VATCo-Weekday-03-1000000,20150320,2
N1501-VATCo-Weekday-03-0001000,20150320,2
N1501-VATCo-Weekday-03-0101100,20150320,2
N1501-VATCo-Weekday-03-0000100,20150320,2
N1501-VATCo-Weekday-03-0010000,20150320,2
N1501-VATCo-Weekday-03-0001100,20150320,2
N1501-VATCo-Weekday-03-0111100,20150320,2
N1501-VATCo-Weekday-03-1100100,20150320,2
N1501-VATCo-Weekday-03-1100000,20150320,2
N1501-VATCo-Weekday-03,20150420,2
N1501-VATCo-Weekday-03-0100000,20150420,2
N1501-VATCo-Weekday-03-1000000,20150420,2
N1501-VATCo-Weekday-03-0001000,20150420,2
N1501-VATCo-Weekday-03-0101100,20150420,2
N1501-VATCo-Weekday-03-0000100,20150420,2
N1501-VATCo-Weekday-03-0010000,20150420,2
N1501-VATCo-Weekday-03-0001100,20150420,2
